mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,label,file_path
-436.71832,72.718475,-0.9595883,39.325317,-6.3314905,-10.23083,-4.8964143,1.3228967,5.099492,3.313558,7.7787876,6.8874187,-1.7148827,154.44786,34.90799,14.402347,40.02863,11.793223,17.58856,10.179215,10.687366,8.5127,15.210994,3.846589,5.3707,6.1130447,9.651346,3.0964851,0.56694764,1.1302524,-0.14963749,0.007144153,-0.25394467,-0.121220976,-0.43373203,-0.080318764,-0.175524,-0.072005674,-0.28550452,wake,dataset\wake\AhmetHakan_Yilmaz_wake_1.wav
-427.0655,76.47528,-1.0076535,33.987366,9.26556,-11.536316,-4.863359,-4.31908,4.4601507,1.6733913,2.1574664,11.042793,3.5366445,148.4662,35.70759,17.949965,35.293118,8.167415,18.605791,8.215515,13.090619,5.648456,13.363619,9.75243,5.3682194,3.53512,9.749958,3.2960804,0.7836509,-0.047738373,0.055628672,-0.07000314,-0.7040628,0.14977784,-0.3337888,0.32328647,0.067941114,0.127178,0.056761265,wake,dataset\wake\AhmetHakan_Yilmaz_wake_1.wav
-570.2833,73.95504,-1.1755202,25.614689,-9.040176,-1.9504478,-13.3096075,-1.1564432,-11.615965,-3.6718097,-7.7642665,-5.3049235,-5.3777113,8.852551,8.005658,4.5998178,6.410394,4.0504684,3.5553448,3.872766,3.0178595,3.1914916,3.137577,2.1888561,4.6109257,4.302868,-0.22874776,0.676525,0.12471685,0.76912075,0.516914,0.29473853,0.25566977,0.22213234,0.24749014,-0.046021707,-0.14215223,-0.52982765,-0.3190281,wake,dataset\wake\Ahmet_emir_karakas_wake_1.wav
-602.1277,71.554306,-1.1397321,20.592154,-14.740473,-4.4639893,-15.216164,-2.986401,-14.298975,-0.8126693,-10.834705,-2.9093108,-8.14028,12.98616,6.9485855,5.8503876,5.268233,3.6572208,3.1210988,2.0830195,3.4405646,3.576129,3.96334,4.231352,4.871453,3.3501174,-1.2111261,0.640257,0.15915398,0.6492382,0.19523878,0.20231317,0.1508985,0.32667515,0.09181483,-0.2659988,-0.5266091,-0.47529233,-0.13058656,wake,dataset\wake\Ahmet_emir_karakas_wake_1.wav
-596.87805,74.24505,-1.0876203,26.659153,-9.021841,-0.5902524,-12.350194,-1.3652035,-11.648137,-3.7333698,-7.292412,-5.2370934,-5.312254,19.721958,7.6569986,4.6703563,6.8449183,3.3362203,3.4691439,4.2943845,2.7893362,2.981167,2.8659997,2.2729776,4.1649766,4.2252975,-1.4013468,0.6500427,-0.054296985,0.7249199,0.3267815,0.17261405,0.2999122,0.1427139,0.22456124,-0.16414982,-0.1661883,-0.49937388,-0.24154183,wake,dataset\wake\Ahmet_emir_karakas_wake_1.wav
-583.69836,44.25273,-9.023058,14.342383,-3.38981,-1.9532983,1.3125927,-0.69102633,6.7090836,-6.895465,6.4632845,-13.627485,-1.6759878,256.06104,46.37702,18.689337,31.594654,6.5414824,18.950924,7.090986,8.505417,9.437776,12.353059,7.248494,14.168597,7.257261,19.413418,3.7293692,-1.6912544,-1.591888,-0.3467514,0.9226104,0.17307368,0.45644814,0.16606255,0.26637283,0.5191066,-0.67644614,-0.5143586,wake,dataset\wake\Ahmet_Selim_Kucukaydin_wake_1.wav
-590.782,42.269066,-13.204917,14.048019,-9.529121,2.3845277,-2.7182722,4.6416655,-2.8321776,-4.181336,-2.693262,-12.8904915,11.589186,241.23056,41.279327,23.75599,29.106888,13.354998,18.394081,4.7980337,6.4886203,5.6342006,10.4061575,4.523795,12.247236,12.952766,18.03627,3.2750056,-2.653432,-1.5051104,0.23809224,1.0524714,-0.07672642,0.53780067,-0.049848914,0.59111047,-0.11158666,-0.8706769,0.77566,wake,dataset\wake\Ahmet_Selim_Kucukaydin_wake_1.wav
-565.13354,45.635864,-8.12945,13.491657,-4.005616,-2.751788,0.39738432,0.03195381,4.9012165,-6.07218,4.775763,-14.848201,-2.7029762,239.67195,40.342094,19.576097,27.402372,7.0246234,18.692284,5.710736,8.610704,7.8763433,13.520797,7.8032517,12.681259,7.3474956,16.956903,1.4699457,0.14019972,0.35920566,0.16646212,0.23315173,-0.29946318,0.3740016,0.032216012,0.20170522,-0.15123142,-0.76053923,-0.0032266118,wake,dataset\wake\Ahmet_Selim_Kucukaydin_wake_1.wav
-282.14706,91.65547,12.646602,33.14521,9.215205,-15.919685,-23.153568,-8.536115,12.339674,-3.8812482,-8.131397,-5.5526743,-7.0740924,120.22937,73.08056,35.01632,37.496895,17.930775,22.221174,21.331839,14.079204,13.975538,16.264256,12.492497,13.066592,14.58808,12.905835,3.7378392,1.9381412,0.9773346,0.9635017,-0.66669726,-1.861712,-0.4386919,0.17357785,0.19306846,-0.98861194,-0.7546847,0.42871067,wake,dataset\wake\Ahmet_İsmail_Özkan_wake_1.wav
-291.1235,91.423065,12.121103,30.447456,-6.5971403,-23.567886,-20.362389,6.0855055,5.0620847,-16.036371,-9.088524,-4.3446846,2.3590968,107.288666,61.4439,35.778038,38.52472,23.836239,18.236599,20.470007,14.54242,8.186735,14.893998,19.930965,15.833205,8.4176035,12.422599,3.12849,1.6375729,0.46308148,0.50871634,-1.538585,-1.3176646,0.15681311,0.2928242,-0.63053757,-1.2728002,0.49186006,0.6960279,wake,dataset\wake\Ahmet_İsmail_Özkan_wake_1.wav
-300.06183,92.234856,16.045631,30.166649,8.773476,-15.446955,-23.92294,-9.616448,10.307508,-2.4530525,-10.671392,-7.176368,-7.2550426,109.40459,60.87497,32.736034,35.524963,15.638948,21.757261,19.343876,11.561623,9.965786,15.463314,11.610822,12.95314,14.602838,6.8629847,5.1137667,0.6464837,1.1564437,0.45147714,-0.32680824,-0.83344066,-0.5024197,0.27309555,0.20012833,-0.4057663,-0.640308,0.28453517,wake,dataset\wake\Ahmet_İsmail_Özkan_wake_1.wav
-434.19232,75.64274,10.72953,36.28074,8.5088625,9.275011,5.6149035,0.74632126,6.7600484,-6.3513584,-1.148651,-7.080897,-2.5870981,148.84439,13.850191,25.709633,25.988306,6.6520257,14.668375,6.15447,16.76415,7.91416,16.799334,5.461778,6.005098,5.174165,8.24266,0.46818927,-0.6478723,0.7335483,-0.23575965,0.09270444,-0.23715135,-0.32302412,-0.00985837,-0.68051904,0.01015947,-0.3956356,-0.0700186,wake,dataset\wake\Akif_Seckin_Bayram_wake_1.wav
-450.81165,74.78949,7.9032907,37.949852,-0.20583016,12.509983,-1.3429033,3.2374125,-2.4469233,-7.787627,-4.49017,-5.2271967,-1.7278562,153.01309,15.1416445,24.443518,29.40656,15.816846,11.390336,11.209586,11.336076,7.6426783,14.504029,4.7941537,6.0731807,5.1201725,9.446543,0.77500504,-1.1594806,0.3583115,-0.6688429,0.40116435,-0.6166214,-0.5482025,-0.40494198,-0.14955604,0.30007094,-0.00645601,-0.037726536,wake,dataset\wake\Akif_Seckin_Bayram_wake_1.wav
-419.6847,83.13789,4.3564343,32.99398,3.9572635,11.058266,7.6829233,-2.1020565,5.101218,-7.3055415,-0.58951354,-6.594059,-5.4467735,159.02568,22.980309,26.488783,27.21297,12.4903,16.086649,6.629081,17.378233,8.58829,16.566528,5.700366,5.4426823,8.108786,10.318819,2.1775327,-0.9600369,-1.8729745,-1.3850967,1.0245668,0.38084292,-0.4461745,-0.28175056,-0.09408161,0.51958466,-0.16438639,-0.49834788,wake,dataset\wake\Akif_Seckin_Bayram_wake_1.wav
-497.00662,41.511208,12.497989,19.297026,-8.617939,-5.4145546,-6.2127123,-2.4377115,-3.0984652,-2.478494,-4.1081896,-8.369476,1.152385,159.56366,28.16259,11.3197,15.516077,25.477543,13.09607,11.545408,6.349969,5.76192,3.7566688,6.603326,7.3402896,9.472893,7.0205035,2.4365232,0.21538815,1.610156,-0.8609129,-0.49362928,-0.6263187,-0.56827354,-0.114443295,0.1034178,0.106653154,-0.348113,0.52581024,wake,dataset\wake\Aleyna_Yilmaz_wake_1.wav
-516.531,45.499016,10.536285,13.974249,-18.313515,-1.6505744,-8.719938,1.3063554,-8.637836,-1.3210891,-12.662194,-0.003222704,-9.741495,168.40964,26.460913,14.536061,14.066201,33.255146,7.089147,13.238218,3.2819371,10.305488,6.9350495,9.503484,7.481567,8.303281,9.928747,2.2345269,-0.27215734,0.94137603,-1.5227795,0.22995852,-1.079974,0.04813632,-0.31639284,0.13746054,-0.48583493,0.64861,0.20572928,wake,dataset\wake\Aleyna_Yilmaz_wake_1.wav
-494.2122,62.660217,9.8712845,12.7862835,-13.841164,-3.760414,-8.060335,-3.6582475,-3.3274248,-2.9824505,-4.6141863,-11.263306,1.6369785,182.89925,40.19248,18.199709,22.636341,27.107916,12.038795,9.544782,5.932297,6.1512275,3.933556,4.688145,8.253511,10.288382,11.342063,5.1773396,-1.2983445,-1.6822747,-0.4984684,0.6144435,-0.3077377,-0.37909985,-0.23661897,-0.0052141547,-0.15944569,-0.38505608,0.41028976,wake,dataset\wake\Aleyna_Yilmaz_wake_1.wav
-875.1162,-0.9323292,0.5540722,0.058508873,1.2064904,-0.85163194,-1.5962029,-1.5792348,0.6876852,1.9858445,-0.5667318,-0.20980245,0.5791239,7.0045,1.7776024,3.146473,3.0184646,4.164562,3.2100542,2.330096,2.082317,2.129013,2.6113434,3.142856,2.4335077,2.20311,0.03393189,-0.0068067946,0.1283783,0.003872022,-0.1361885,-0.0010246783,0.01621027,0.017178353,0.03538547,-0.08099805,-0.14871436,-0.09853451,-0.04934099,wake,dataset\wake\Alpha_Cisse_wake_1.wav
-918.3977,0.074872494,-1.7746811,2.2833893,-2.1609395,0.13781807,-3.926429,3.3466673,-0.2106551,3.4529533,-2.743332,3.286965,-1.92731,10.432455,2.6225429,3.6640801,3.433671,3.858697,2.0647376,2.337397,2.4455278,3.015328,3.7014947,3.4248657,2.9435947,2.7204714,-0.75915194,0.014531918,0.15606213,-0.09431756,0.015005782,0.08654865,0.14472955,0.1926899,0.039780483,-0.16751143,-0.17019305,-0.14792919,-0.011074327,wake,dataset\wake\Alpha_Cisse_wake_1.wav
-901.1722,-0.7932794,0.6008229,0.32466346,1.288957,-2.3321126,-3.2132664,-1.5826504,0.5168294,2.1769633,0.056910694,0.27530757,0.33338597,15.819876,1.7699928,3.0052783,3.6973014,3.2270315,2.7559528,2.5873826,1.3896462,1.9427782,2.2452967,2.829612,1.9756877,2.247223,-1.001953,-0.01723636,0.08536314,0.012607142,-0.121168114,-0.11548593,-0.116192445,0.0802641,-0.036102585,-0.05784311,-0.012284555,-0.07353371,-0.0719045,wake,dataset\wake\Alpha_Cisse_wake_1.wav
-597.71576,51.84202,4.7918806,19.69447,7.7438154,-0.7498224,4.9482384,1.4644144,14.282608,8.200804,4.852464,9.787056,8.702358,151.2588,42.178215,21.616621,9.165896,11.237264,21.045177,12.412514,16.828735,7.951906,8.639573,7.4355917,5.2653093,4.6295214,15.780919,4.010327,-0.8079109,0.98545086,-0.560365,-1.6907473,-1.098217,-1.4658172,-0.027091676,-0.9855679,-0.26072302,0.08270547,0.0349856,wake,dataset\wake\aly_abdelhalim_wake_1.wav
-617.15265,53.071915,1.0017973,21.948069,-0.25653428,0.7112802,2.49386,6.5484886,16.584007,4.884121,5.588628,9.905614,-3.208602,151.86269,40.238033,23.122643,10.425011,18.769321,18.793682,12.870594,14.320147,8.965788,7.347986,6.4779496,3.0421174,10.2256975,15.551186,3.4456346,-1.1086211,0.7099785,-1.3565173,-1.5816422,-1.221394,-0.6597159,-0.20316036,-0.7296796,0.12415616,-0.11479545,-0.8004408,wake,dataset\wake\aly_abdelhalim_wake_1.wav
-607.10077,63.673912,5.2785945,28.108564,8.225935,-4.238507,3.1233752,-4.874152,12.769133,5.385823,1.4910319,9.578421,8.8184185,153.93285,38.298973,23.064102,15.180505,10.771374,22.236914,13.542472,19.382809,9.246629,14.930114,9.133547,5.1870914,5.7243886,10.998653,2.532402,0.14511262,1.6581575,-0.39851013,-1.4645355,-0.9855913,-1.4500155,-0.67740315,-1.4057975,-0.7011919,0.12998325,-0.36823678,wake,dataset\wake\aly_abdelhalim_wake_1.wav
-780.11523,27.612354,-3.3475885,10.051224,-0.21983457,-5.968085,-2.2465363,-5.406689,2.6567538,-3.5705328,-1.5644687,-0.5140659,0.42581308,178.66104,49.734604,11.88789,22.992506,4.114168,13.096001,6.7678823,11.185054,5.5713506,9.453895,4.3369412,3.0281763,3.6011481,21.065369,5.272296,-0.8626399,2.7071118,-0.2826785,-1.4397472,-0.14378053,-1.2103004,0.46157122,-1.0710616,-0.4218105,-0.016090145,-0.19487466,wake,dataset\wake\Arif_Yarencik_wake_1.wav
-784.37317,31.28764,-4.5046215,13.82583,-7.8857803,-5.999758,-4.8732347,-2.620999,0.9326591,-6.138439,1.9537898,-0.96357936,1.5625727,176.32054,53.30869,11.919776,27.396347,15.076502,11.051443,8.824111,6.990495,2.097052,12.462138,4.154833,3.2016535,3.820148,19.718277,5.137252,-1.016283,3.197216,-1.5962874,-0.99941015,-0.6115978,-0.7813404,0.07577531,-1.4456204,0.455714,-0.3282361,0.047867965,wake,dataset\wake\Arif_Yarencik_wake_1.wav
-774.7377,41.20314,-2.663608,21.058582,-0.051903516,-11.749745,-3.6197023,-10.715788,4.239161,-7.1746473,-2.614642,-1.2057651,-0.55110514,182.7016,59.162235,15.010941,31.029297,4.6466656,15.949751,8.362726,13.91763,6.5480223,14.313787,4.5526757,3.171887,4.234435,11.276416,3.505231,0.48910218,2.7700882,-0.29308277,-0.96802187,0.52249837,-1.0353252,0.25098473,-1.3579807,-0.37123588,-0.06939592,-0.35759902,wake,dataset\wake\Arif_Yarencik_wake_1.wav
-554.67334,79.56847,-15.352406,5.7514725,-12.817869,-4.097645,-19.669239,-2.7138486,-6.997489,-7.113554,-13.864313,-0.9250509,-6.1076484,174.3831,66.68074,16.776264,20.094696,13.590156,8.5398245,19.82471,6.8811264,7.4069743,7.134676,11.792517,8.005088,5.1368957,14.340487,6.4925137,-0.88910985,-0.9147978,-0.9433409,-0.23525968,-0.540491,-0.522293,-0.76840824,-0.71649003,-0.3403551,0.29268774,-0.37008843,wake,dataset\wake\Arshad_qurishy_wake_1.wav
-581.9628,73.621086,-15.426451,1.0129955,-14.672456,-11.0903,-17.221146,-1.0520833,-9.371952,-10.343445,-5.597829,1.5317796,-5.5556087,195.53607,57.059227,15.923163,18.216452,12.091102,11.45445,16.620258,7.022223,7.1018057,9.985323,8.422259,6.49322,6.5320835,18.018486,5.7774715,-1.3335023,-1.2546188,-0.8368261,-0.36444557,-0.66713136,-0.5967449,-0.7172376,-0.36411136,0.18262917,0.03234815,-0.35989052,wake,dataset\wake\Arshad_qurishy_wake_1.wav
-549.5748,89.13606,-17.63688,5.3987207,-13.312843,-4.8879194,-20.368093,-5.153657,-6.4230604,-6.455092,-11.041059,-1.3261871,-4.336378,165.66496,70.46498,19.146667,17.727278,12.480274,7.4959173,18.951555,7.1892457,8.753669,6.62406,9.866689,7.1515718,3.53622,12.350062,6.6458664,-1.0110617,-0.74151146,-1.2619133,0.012686282,-0.49392426,-0.5441987,-0.9605938,-0.18952355,0.00038362667,0.23958795,-0.21349314,wake,dataset\wake\Arshad_qurishy_wake_1.wav
-499.38538,110.72826,27.420946,37.354637,6.7888274,8.256949,-1.5239732,0.73037654,-0.9898668,2.673149,-4.8391085,3.8196313,-4.6572466,52.21016,17.450548,7.9464717,8.077171,6.971384,5.658384,5.4775333,5.816212,4.5931177,4.4471946,4.024119,3.9786224,3.8959248,3.83183,0.27456108,-0.22950186,0.37480918,0.1414907,-0.38109416,-0.35380715,0.27661914,0.12969995,-0.19007304,-0.13567726,0.099461965,-0.018393211,wake,dataset\wake\Atalay_aksoy_wake_1.wav
-525.7313,109.59093,27.676825,33.746914,2.2598615,8.165164,-2.4691303,0.5814518,-0.2625425,-2.461306,-1.8849329,3.9480014,-1.7645118,39.53888,16.415165,7.676448,6.9231896,7.4100924,7.3909087,6.6346493,6.023042,4.4548965,3.6665654,3.3363748,5.9887853,6.349227,2.3225133,0.030292988,-0.30612123,0.36124802,-0.14513497,-0.46519625,0.13219377,0.66329485,-0.16451712,-0.27736068,0.18416871,0.197571,-0.19066222,wake,dataset\wake\Atalay_aksoy_wake_1.wav
-483.33026,105.07831,23.827606,39.106358,3.405164,1.4307892,0.1698966,-2.1605906,2.1855094,-2.067472,-3.892372,3.0302486,-3.1476862,110.598015,20.737728,15.566925,9.369556,12.047215,18.419601,5.7005496,7.1042266,6.746134,6.3554697,4.0041723,5.386265,4.6422257,12.361267,0.67929703,-1.3696038,0.4284429,-1.016595,-2.1861129,-0.16507858,-0.27790833,0.5420277,-0.7211933,0.17692497,0.07210782,0.14799021,wake,dataset\wake\Atalay_aksoy_wake_1.wav
-498.0912,96.64874,11.841419,20.221008,7.9735055,8.250738,1.1171795,0.8954191,-4.4754076,2.0048997,-1.6341255,4.885022,1.5792384,19.908636,8.416754,7.7387376,5.959422,3.2916,4.3384023,4.08857,3.7052271,2.7555292,3.5225937,3.0701928,3.0292568,3.4151926,-1.4250928,-0.61337435,0.75024134,0.51804507,-0.18977138,0.27123863,-0.20595184,0.07457865,-0.057583503,-0.09194979,0.08005346,0.10874131,-0.12903263,wake,dataset\wake\Atilla_degirmenci_wake_1.wav
-531.3167,94.424934,8.704771,19.184563,4.9859023,5.8943043,-3.4239838,-1.151116,-4.291353,3.0626836,-0.3389072,8.045826,1.121277,24.671883,9.388838,7.7463627,6.048494,3.8789787,5.0854683,3.4118967,3.3289502,3.279433,2.6919787,3.4245417,2.9134846,3.1522639,-2.640761,-0.6352416,0.87790143,0.4101795,-0.21797898,0.17787138,-0.032754853,0.35132182,-0.07358973,-0.10397661,0.28020597,0.15763637,-0.048891045,wake,dataset\wake\Atilla_degirmenci_wake_1.wav
-521.97314,97.49775,13.3237295,20.434677,7.8434105,8.989536,2.0039444,1.5064137,-5.912654,2.1465528,-1.5095916,5.7400656,2.1765902,23.195595,7.343578,7.865614,5.736541,3.532988,5.042463,3.6383846,3.4212441,2.7201269,2.9920735,3.543064,2.9320211,3.6024656,-2.645103,-0.5570213,0.7438055,0.5613576,-0.13832645,0.46484873,-0.0072188303,0.23099363,-0.012375161,-0.12189498,0.097085826,0.18966255,-0.13851523,wake,dataset\wake\Atilla_degirmenci_wake_1.wav
-457.791,51.36323,0.70576274,17.461725,-14.645542,-7.6827,-3.7344935,1.8273231,2.1298437,-5.953738,-5.353615,4.629841,-11.695706,174.12712,21.630117,17.751795,16.2163,33.404007,9.351134,6.8815465,7.926791,3.6877484,6.97525,8.094631,6.655255,7.2820096,15.683378,-0.60500586,-0.5274389,2.035192,-3.0128338,-0.65530336,-0.35908282,-0.5581133,-0.23129672,-0.14441761,-0.4671815,0.27926585,-0.040472094,wake,dataset\wake\Aysenur_Soydan_Wake_1.wav
-481.36072,50.157703,-1.8778689,12.28686,-24.203186,-6.702211,-0.43965232,2.756085,-4.028416,-13.517153,-0.8357824,-8.69346,-16.141266,182.99841,24.037827,12.383402,7.636023,35.43161,6.4142556,8.906232,8.454715,5.820303,10.985196,5.0613947,3.6626337,6.5713186,15.152807,-1.8266637,0.020769782,0.6035248,-3.3638957,-0.11109856,-0.7930053,-0.40675175,-0.42769974,-0.41019776,-0.1807636,0.2712919,-0.37976968,wake,dataset\wake\Aysenur_Soydan_Wake_1.wav
-463.0344,50.759705,-0.29430366,22.411972,-22.664494,-12.338139,-5.2386174,-2.7987838,-0.011178017,-7.7889657,-8.388878,4.7535377,-13.38502,170.15453,21.167944,18.480198,15.246707,36.28497,10.50686,7.955415,13.702921,6.152712,7.503182,10.588833,5.8855405,5.8499417,6.2992516,-1.5103182,1.0135889,1.7400548,-2.4412143,-0.4659667,-0.46821448,-1.350596,-0.47797704,-0.4852308,-0.80264366,0.45698595,-0.012705833,wake,dataset\wake\Aysenur_Soydan_Wake_1.wav
-722.4872,136.43263,45.936615,31.347681,15.0956745,16.10881,7.9149256,9.986193,5.7034073,7.6989155,-0.19053575,-1.4651835,-4.259164,8.994657,5.3950467,6.6074834,4.5229955,4.0194654,5.596014,3.672236,5.720494,4.3564754,4.749066,3.075177,3.3313963,3.3542871,0.10115318,0.046118185,0.32887188,0.023699254,-0.36986768,-0.36906308,-0.009609014,-0.080313854,-0.35814887,-0.43846887,-0.07141735,0.17964226,0.08360382,wake,dataset\wake\Baris_Aslan_Wake_1.wav
-751.8485,141.36028,41.191013,28.952503,10.845813,16.388075,6.7689,9.521024,2.934422,4.1773896,-7.9673734,-1.9925864,-4.9297085,10.598799,4.448708,6.341529,3.6695628,5.4243746,4.381712,6.523187,4.5394835,5.0851507,4.577156,4.233656,4.07422,4.5461464,-1.0217705,0.31432134,0.30950615,-0.18403831,-0.42568365,-0.13474695,0.06604101,-0.28175995,-0.3714688,-0.26757511,0.11997126,0.27475733,-0.037252855,wake,dataset\wake\Baris_Aslan_Wake_1.wav
-748.1677,139.2782,46.776955,30.826832,14.204286,15.71628,8.837505,10.93871,6.5292883,8.130706,-1.0561706,-2.117344,-4.592539,14.537145,6.002359,5.7511687,4.3431015,4.7629375,5.1213264,3.7000363,6.2264895,3.5723903,4.232713,2.776081,3.028562,3.7294903,-1.0804428,0.45168874,0.4095758,-0.11430107,-0.5938599,-0.46358567,0.0644872,0.12923366,-0.280656,-0.27424777,-0.09271233,0.29606122,0.24016663,wake,dataset\wake\Baris_Aslan_Wake_1.wav
